case_id,ai_probability_class_1,outer_fold,inner_fold,probability_source
4,0.003836024086922407,3,1,nested_oof
6,0.8871181011199951,3,1,nested_oof
14,0.9875126481056213,3,1,nested_oof
18,0.05786901339888573,3,1,nested_oof
19,0.1687501072883606,3,1,nested_oof
20,0.8778690695762634,3,1,nested_oof
25,0.5031402111053467,3,1,nested_oof
34,0.8418766260147095,3,1,nested_oof
42,0.5061511397361755,3,1,nested_oof
56,0.00553975161164999,3,1,nested_oof
58,0.5494279861450195,3,1,nested_oof
63,0.2116558998823166,3,1,nested_oof
65,0.17292667925357819,3,1,nested_oof
72,0.004538753069937229,3,1,nested_oof
74,0.004416908137500286,3,1,nested_oof
76,0.45903581380844116,3,1,nested_oof
80,0.9764859676361084,3,1,nested_oof
82,0.00037015328416600823,3,1,nested_oof
85,0.9759562015533447,3,1,nested_oof
86,0.6320700645446777,3,1,nested_oof
92,0.020418571308255196,3,1,nested_oof
102,0.00391331547871232,3,1,nested_oof
103,0.0019129924476146698,3,1,nested_oof
113,0.003281204728409648,3,1,nested_oof
119,0.8728200197219849,3,1,nested_oof
126,0.32725897431373596,3,1,nested_oof
127,0.08254590630531311,3,1,nested_oof
129,0.9963892698287964,3,1,nested_oof
131,0.0850369930267334,3,1,nested_oof
136,0.005945001728832722,3,1,nested_oof
143,0.910419225692749,3,1,nested_oof
146,0.9203351140022278,3,1,nested_oof
148,0.0034137621987611055,3,1,nested_oof
151,0.3059818744659424,3,1,nested_oof
152,0.658663272857666,3,1,nested_oof
153,0.0027936657425016165,3,1,nested_oof
172,0.030547481030225754,3,1,nested_oof
173,0.01725558191537857,3,1,nested_oof
175,0.9971014857292175,3,1,nested_oof
186,0.02761782705783844,3,1,nested_oof
190,0.9241244792938232,3,1,nested_oof
197,0.4402904808521271,3,1,nested_oof
198,0.0006993368151597679,3,1,nested_oof
202,0.05362740531563759,3,1,nested_oof
204,0.9851802587509155,3,1,nested_oof
209,0.2765399217605591,3,1,nested_oof
218,0.0018698270432651043,3,1,nested_oof
219,0.9254192113876343,3,1,nested_oof
239,0.013787224888801575,3,1,nested_oof
240,0.8508762121200562,3,1,nested_oof
241,0.9858824014663696,3,1,nested_oof
255,0.9486941695213318,3,1,nested_oof
259,0.10316446423530579,3,1,nested_oof
275,0.2717141807079315,3,1,nested_oof
277,0.813780665397644,3,1,nested_oof
281,0.8447717428207397,3,1,nested_oof
285,0.0048589324578642845,3,1,nested_oof
292,0.028971320018172264,3,1,nested_oof
293,0.9446540474891663,3,1,nested_oof
309,0.10199712961912155,3,1,nested_oof
319,0.0004975948831997812,3,1,nested_oof
320,0.9579222202301025,3,1,nested_oof
321,0.024245474487543106,3,1,nested_oof
322,0.4450085461139679,3,1,nested_oof
323,0.9973546266555786,3,1,nested_oof
329,0.8940896987915039,3,1,nested_oof
330,0.006664203945547342,3,1,nested_oof
336,0.0014446030836552382,3,1,nested_oof
337,0.009583923034369946,3,1,nested_oof
343,0.029353301972150803,3,1,nested_oof
346,0.0023320773616433144,3,1,nested_oof
353,0.16946536302566528,3,1,nested_oof
357,0.019517889246344566,3,1,nested_oof
363,0.972526490688324,3,1,nested_oof
381,0.8462309837341309,3,1,nested_oof
385,0.9562360048294067,3,1,nested_oof
398,0.921393632888794,3,1,nested_oof
399,0.00465884804725647,3,1,nested_oof
401,0.9660453200340271,3,1,nested_oof
410,0.00938049890100956,3,1,nested_oof
412,0.00831370335072279,3,1,nested_oof
414,0.8311014771461487,3,1,nested_oof
415,0.2254571169614792,3,1,nested_oof
418,0.0025990710128098726,3,1,nested_oof
420,0.0010728893103078008,3,1,nested_oof
427,0.009608498774468899,3,1,nested_oof
21,0.029689675197005272,3,2,nested_oof
23,0.20027415454387665,3,2,nested_oof
27,0.10349258780479431,3,2,nested_oof
30,0.00936349481344223,3,2,nested_oof
43,0.023502901196479797,3,2,nested_oof
55,0.700652539730072,3,2,nested_oof
64,0.28530511260032654,3,2,nested_oof
73,0.011274532414972782,3,2,nested_oof
81,0.7481532096862793,3,2,nested_oof
84,0.1106489896774292,3,2,nested_oof
93,0.08493600785732269,3,2,nested_oof
97,0.21410612761974335,3,2,nested_oof
99,0.3199024498462677,3,2,nested_oof
101,0.9722791910171509,3,2,nested_oof
105,0.013737641274929047,3,2,nested_oof
112,0.017582500353455544,3,2,nested_oof
114,0.022525139153003693,3,2,nested_oof
116,0.20982855558395386,3,2,nested_oof
117,0.8696020245552063,3,2,nested_oof
122,0.3772655427455902,3,2,nested_oof
125,0.31733888387680054,3,2,nested_oof
130,0.6168709993362427,3,2,nested_oof
133,0.08053668588399887,3,2,nested_oof
138,0.6921856999397278,3,2,nested_oof
139,0.02014356665313244,3,2,nested_oof
140,0.010725030675530434,3,2,nested_oof
141,0.03288468345999718,3,2,nested_oof
150,0.020435864105820656,3,2,nested_oof
155,0.024907417595386505,3,2,nested_oof
162,0.8776038289070129,3,2,nested_oof
