id,case_id,rater_id,fold,rating,error-rating,q_ir,ai_probability_class_1,ai_predicted_class,rater_ai_disagreement,rating-confidence,case-difficulty,rater-expertise,d_probability_weighted,threshold_youden,d_probability_unweighted,TARGET,q_pred,d_pred_w,d_pred_u,ai_correct,rater_correct,q_correct,d_correct_w
1-0,1,0,3,0,0,0.0631916150450706,0.0631916150450706,0,0,5,2,4,0.12169316,0.4455930888652801,0.05382829,0,0,0,0,1,1,1,1
1-1,1,1,3,0,0,0.0631916150450706,0.0631916150450706,0,0,5,2,4,0.08780243,0.4455930888652801,0.033251062,0,0,0,0,1,1,1,1
1-2,1,2,3,0,0,0.0631916150450706,0.0631916150450706,0,0,4,2,4,0.032327995,0.4455930888652801,0.016389221,0,0,0,0,1,1,1,1
1-3,1,3,3,0,0,0.0631916150450706,0.0631916150450706,0,0,5,1,4,0.2676423,0.4455930888652801,0.10710165,0,0,0,0,1,1,1,1
1-4,1,4,3,0,0,0.0631916150450706,0.0631916150450706,0,0,4,4,3,0.04404443,0.4455930888652801,0.021168329,0,0,0,0,1,1,1,1
1-5,1,5,3,0,0,0.0631916150450706,0.0631916150450706,0,0,4,3,3,0.14603746,0.4455930888652801,0.07844925,0,0,0,0,1,1,1,1
1-6,1,6,3,0,0,0.0631916150450706,0.0631916150450706,0,0,4,3,2,0.029457582,0.4455930888652801,0.014681262,0,0,0,0,1,1,1,1
1-7,1,7,3,0,0,0.0631916150450706,0.0631916150450706,0,0,5,1,2,0.06247298,0.4455930888652801,0.02787972,0,0,0,0,1,1,1,1
1-8,1,8,3,0,0,0.0631916150450706,0.0631916150450706,0,0,3,3,2,0.03206267,0.4455930888652801,0.022708945,0,0,0,0,1,1,1,1
1-9,1,9,3,0,0,0.0631916150450706,0.0631916150450706,0,0,5,3,4,0.14945708,0.4455930888652801,0.05751574,0,0,0,0,1,1,1,1
1-10,1,10,3,0,0,0.0631916150450706,0.0631916150450706,0,0,3,2,4,0.048614454,0.4455930888652801,0.020028297,0,0,0,0,1,1,1,1
1-11,1,11,3,1,1,0.9368083849549294,0.0631916150450706,0,1,3,3,4,0.07585076,0.4455930888652801,0.062150523,0,1,0,0,1,0,1,0
1-12,1,12,3,0,0,0.0631916150450706,0.0631916150450706,0,0,4,2,4,0.10111602,0.4455930888652801,0.044878174,0,0,0,0,1,1,1,1
2-0,2,0,5,0,1,0.8505421280860901,0.8505421280860901,1,1,5,2,4,0.13167699,0.372329980134964,0.06290936,1,1,0,0,1,0,1,0
