fold,model,n,prevalence,threshold,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
1,q_ir,1118,0.16368515205724507,0.5,0.2164629057579127,0.6976744186046512,0.7115747640337804,0.31678486997635935,0.73224043715847,0.44224422442244227,0.0,0.8363148479427549,0.7334502206247626,0.42113045527296983,0.6350800044144935,646,289,49,134,0.6909090909090909,0.4029430488934654,-0.0032010544579688383,0.2505641688354487
1,D_weighted,1118,0.16368515205724507,0.5,0.13262358794474952,0.8389982110912343,0.5521463428888694,0.5348837209302325,0.12568306010928962,0.20353982300884957,0.0,0.8363148479427549,0.6599164255866281,0.32882215765467,0.43394202028337675,915,20,160,23,0.9786096256684492,0.6245464137227917,0.04234993973545659,0.06259985537119857
2,q_ir,1118,0.1735241502683363,0.5,0.15426830488789142,0.7906976744186046,0.7369516222609006,0.43197278911564624,0.654639175257732,0.5204918032786885,0.0,0.8264758497316637,0.7943722943722944,0.5403590133713223,0.49322901063514435,757,167,67,127,0.8192640692640693,0.5225829325290924,0.017381156482300125,0.14055488185460593
2,D_weighted,1118,0.1735241502683363,0.5,0.13213609339983376,0.8381037567084079,0.5986633641272816,0.5844155844155844,0.23195876288659795,0.33210332103321033,0.0,0.8264758497316637,0.6947912482706298,0.40392616245757984,0.43549460453087513,892,32,149,45,0.9653679653679653,0.6932996749213834,0.05515280509816739,0.0657073105588551
3,q_ir,1105,0.17466063348416289,0.5,0.19381903641307988,0.6823529411764706,0.6176199890919007,0.27932960893854747,0.5181347150259067,0.3629764065335753,0.0,0.8253393665158371,0.7386146713935097,0.5261691933458589,0.5622377093694129,654,258,93,100,0.7171052631578947,0.4000568763501003,0.032999036044542907,0.19233238265188035
3,D_weighted,1105,0.17466063348416289,0.5,0.15179993070846412,0.8199095022624434,0.5069226661212617,0.3125,0.025906735751295335,0.04784688995215311,0.0,0.8253393665158371,0.575180665394055,0.21898756705004746,0.5097243145666206,901,11,188,5,0.9879385964912281,0.3043823125242537,0.13797573321547987,0.08271723665339364
4,q_ir,1105,0.2398190045248869,0.5,0.20459048729362564,0.6941176470588235,0.6606132075471698,0.40616966580976865,0.5962264150943396,0.4831804281345566,0.0,0.7601809954751131,0.7361590296495957,0.5160210413902853,0.6377318387602191,609,231,107,158,0.725,0.4927459333712846,0.05071172095147694,0.1851691090312209
4,D_weighted,1105,0.2398190045248869,0.5,0.17205947436609023,0.7674208144796381,0.5499663072776281,0.5645161290322581,0.1320754716981132,0.21406727828746178,0.0,0.7601809954751131,0.6762488769092543,0.42080106943018114,0.5431191479262244,813,27,230,35,0.9678571428571429,0.8041279323800126,0.09868875277739711,0.06790068384117645
5,q_ir,1105,0.20090497737556562,0.5,0.2819825094738416,0.6823529411764706,0.6377036719618826,0.32981530343007914,0.5630630630630631,0.415973377703827,0.0,0.7990950226244344,0.653005213594115,0.41829450995444994,1.131547760450934,629,254,97,125,0.7123442808607021,0.20330744459749941,0.12769355544064526,0.29069698997224075
5,D_weighted,1105,0.20090497737556562,0.5,0.1719345825063092,0.7800904977375566,0.5336307428606409,0.36,0.12162162162162163,0.18181818181818182,0.0,0.7990950226244344,0.586700233642476,0.28126468796177173,0.614225226572586,835,48,195,27,0.9456398640996603,0.3872547584072793,0.15074407919494642,0.11202981263936651
