id,case_id,rater_id,fold,rating,error-rating,q_ir,ai_probability_class_1,ai_predicted_class,rater_ai_disagreement,ai_probability_rater_wrong,ai_margin,rating-confidence,case-difficulty,rater-expertise,rater-accuracy,rater-confidence,probability_source,ai_decision_threshold
1-0,1,0,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
1-1,1,1,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,5,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
1-2,1,2,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
1-3,1,3,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,5,1,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
1-4,1,4,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,4,4,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
1-5,1,5,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,4,3,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
1-6,1,6,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
1-7,1,7,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,5,1,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
1-8,1,8,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,3,3,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
1-9,1,9,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,5,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
1-10,1,10,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,3,2,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
1-11,1,11,3,1,1,0.9368083849549294,0.0631916150450706,0,1,0.9368083849549294,0.4368083849549294,3,3,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
1-12,1,12,3,0,0,0.0631916150450706,0.0631916150450706,0,0,0.0631916150450706,0.4368083849549294,4,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
2-0,2,0,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
2-1,2,1,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,4,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
2-2,2,2,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,5,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
2-3,2,3,5,1,0,0.1494578719139099,0.8505421280860901,1,0,0.1494578719139099,0.3505421280860901,4,3,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
