metric,baseline_q_ir,D,delta_D_minus_q_ir,baseline_ci95_low,baseline_ci95_high,D_ci95_low,D_ci95_high,delta_ci95_low,delta_ci95_high
auroc,0.7159382908947449,0.6515842209880176,-0.06435406990672732,0.6569024198005915,0.7733271519584173,0.6060958047713281,0.6966189362494982,-0.09433905928758991,-0.035492502040814444
auprc,0.4157642613672707,0.3382789919456404,-0.07748526942163031,0.33806433015927967,0.5064767194996054,0.27845084679354853,0.40493024618883916,-0.12618590335322205,-0.042303318460573495
brier,0.2101082129646034,0.15771086957308353,-0.052397343391519885,0.18263957864924923,0.2391082672755697,0.13679608645129865,0.17929235611160424,-0.08042999783635699,-0.024496534308581744
bss,-0.3629421676319644,-0.023048035115471155,0.33989413251649325,-0.5824211336002272,-0.17807556948297837,-0.06769534777239171,0.020602324530244416,0.15033118144131863,0.5587628005870563
log_loss,0.6913666194932482,0.558970122411795,-0.13239649708145318,0.5959692702295145,0.7963370320985504,0.48534756519748423,0.6367893602420199,-0.22885393614118424,-0.04248656675915285
calibration_slope,0.38138904834163456,1.061559723278556,0.6801706749369215,0.2849265775387406,0.48545190045442776,0.7507726867867854,1.370760301018346,0.4409475786960464,0.930877060190153
calibration_intercept,0.05229125047537733,0.10877533152291974,0.056484081047542406,0.01456916048023825,0.09294749202357044,0.07793475802776817,0.14203265822625927,0.03302023401597882,0.08054785645877205
ece,0.2014933562177905,0.11599375234384793,-0.08549960387394256,0.17270663599359917,0.23845004899806635,0.09266750495453384,0.1413174347067983,-0.13229769024990337,-0.04645645881735717
precision@0.5,0.3494302767227347,0.723404255319149,0.3739739785964143,0.2905359233653457,0.4154392255220637,0.53484496124031,0.8666981132075472,0.20226628247347234,0.5151420270318544
recall@0.5,0.609271523178808,0.03216650898770104,-0.5771050141911069,0.5294601147981493,0.6884652560083594,0.018695376141947825,0.04752597714576405,-0.6544450042376871,-0.4985544672663012
specificity@0.5,0.7331998219848687,0.9971072541166,0.2639074321317313,0.6913908719004112,0.7745309465749879,0.9950736429439051,0.998850402644323,0.22218426353271126,0.3064456250387033
f1@0.5,0.44413793103448274,0.06159420289855073,-0.382543728135932,0.3822124438135794,0.5068062156139693,0.03605231723630636,0.08953878403187308,-0.44874828429244973,-0.32223792754683245
accuracy@0.5,0.7096018735362998,0.8133669609079445,0.1037650873716447,0.6697892271662763,0.7517564402810304,0.7876013330931364,0.8376959106467303,0.059606377229327975,0.14682039272203207
balanced_accuracy@0.5,0.6712356725818382,0.5146368815521505,-0.15659879102968777,0.6241302465773212,0.721008513454402,0.5077546418480796,0.5225900972006565,-0.20612603335624993,-0.11258599097765433
