metric,baseline_q_ir,D,delta_D_minus_q_ir,baseline_ci95_low,baseline_ci95_high,D_ci95_low,D_ci95_high,delta_ci95_low,delta_ci95_high
auroc,0.7159382908947449,0.6327296902545136,-0.08320860064023128,0.6569024198005915,0.7733271519584173,0.5917310658866092,0.6738180175631054,-0.11551443205704548,-0.05091369758960362
auprc,0.4157642613672707,0.3247056178016724,-0.09105864356559829,0.33806433015927967,0.5064767194996054,0.2679981757898522,0.3840653755044931,-0.14909775509339943,-0.050219514817717366
brier,0.2101082129646034,0.1520183174239053,-0.0580898955406981,0.18263957864924923,0.2391082672755697,0.13435053106768852,0.16989956608195916,-0.08255388464825132,-0.03443468890208009
bss,-0.3629421676319644,0.013878743024639095,0.3768209106566035,-0.5824211336002272,-0.17807556948297837,-0.039503622415010944,0.0639676207259857,0.2109935860840369,0.5613610850618912
log_loss,0.6913666194932482,0.5069610967320546,-0.1844055227611936,0.5959692702295145,0.7963370320985504,0.45111833360700543,0.5653846260669841,-0.2686199979817917,-0.10292155254908131
calibration_slope,0.38138904834163456,0.5674136470421194,0.18602459870048482,0.2849265775387406,0.48545190045442776,0.3981699209398271,0.7300248437648311,0.08330259968295958,0.29078112702033737
calibration_intercept,0.05229125047537733,0.10063497397598459,0.048343723500607255,0.01456916048023825,0.09294749202357044,0.06906595694006461,0.1337168363286839,0.02882357304587398,0.07040936421771125
ece,0.2014933562177905,0.06534323096465502,-0.13615012525313547,0.17270663599359917,0.23845004899806635,0.04865724427261125,0.0873902840185291,-0.1666369767547847,-0.10618639899775617
precision@0.5,0.3494302767227347,0.4945054945054945,0.14507521778275984,0.2905359233653457,0.4154392255220637,0.39129540168187515,0.5930075187969924,0.061971357994648466,0.2272375719094844
recall@0.5,0.609271523178808,0.12771996215704826,-0.48155156102175967,0.5294601147981493,0.6884652560083594,0.09931568593808349,0.15816218397551463,-0.5481803888500947,-0.41601447044334977
specificity@0.5,0.7331998219848687,0.9692923898531375,0.23609256786826882,0.6913908719004112,0.7745309465749879,0.9604220031298174,0.977402980519885,0.1981152198204505,0.2746814871709624
f1@0.5,0.44413793103448274,0.20300751879699247,-0.24113041223749027,0.3822124438135794,0.5068062156139693,0.15941640588587788,0.24667947297655568,-0.3010969493738097,-0.18851621901226354
accuracy@0.5,0.7096018735362998,0.8090434156007926,0.09944154206449285,0.6697892271662763,0.7517564402810304,0.7841785263916411,0.8328229147901279,0.058525490902540035,0.1376373626373627
balanced_accuracy@0.5,0.6712356725818382,0.5485061760050929,-0.12272949657674537,0.6241302465773212,0.721008513454402,0.5331377341531166,0.5643095804661394,-0.16692370065911163,-0.08243536383811065
