case_id,TARGET,mean_error_rating,error_above_median,stratum,fold
1,0,0.07692307692307693,1,0_1,3
2,1,0.6153846153846154,1,1_1,5
3,0,0.07692307692307693,1,0_1,3
4,0,0.46153846153846156,1,0_1,4
5,0,0.07692307692307693,1,0_1,4
6,0,0.23076923076923078,1,0_1,1
7,0,0.15384615384615385,1,0_1,4
8,1,0.0,0,1_0,3
9,0,0.38461538461538464,1,0_1,3
10,0,0.38461538461538464,1,0_1,3
11,1,0.07692307692307693,1,1_1,5
12,1,0.0,0,1_0,3
13,1,0.0,0,1_0,2
14,1,0.0,0,1_0,4
15,1,0.9230769230769231,1,1_1,3
16,0,0.0,0,0_0,5
17,0,0.5384615384615384,1,0_1,1
18,1,0.0,0,1_0,5
19,0,0.0,0,0_0,2
20,1,0.0,0,1_0,5
21,0,0.0,0,0_0,5
22,0,0.07692307692307693,1,0_1,1
23,0,0.07692307692307693,1,0_1,1
24,0,0.07692307692307693,1,0_1,1
25,1,0.0,0,1_0,2
26,1,0.0,0,1_0,1
27,0,0.07692307692307693,1,0_1,1
28,0,0.23076923076923078,1,0_1,2
29,1,0.7692307692307693,1,1_1,3
30,0,0.0,0,0_0,2
31,1,0.0,0,1_0,4
32,0,0.6923076923076923,1,0_1,2
33,0,0.23076923076923078,1,0_1,3
34,1,0.5384615384615384,1,1_1,4
35,0,0.3076923076923077,1,0_1,4
36,0,0.6153846153846154,1,0_1,5
37,1,0.3076923076923077,1,1_1,5
38,0,0.15384615384615385,1,0_1,3
39,0,0.07692307692307693,1,0_1,4
40,1,0.0,0,1_0,2
41,0,0.6923076923076923,1,0_1,3
42,0,0.0,0,0_0,1
43,0,0.07692307692307693,1,0_1,5
44,1,0.07692307692307693,1,1_1,1
45,1,0.0,0,1_0,2
46,0,0.0,0,0_0,5
47,1,0.0,0,1_0,1
48,0,0.0,0,0_0,5
49,0,0.0,0,0_0,3
50,0,0.23076923076923078,1,0_1,2
51,1,0.0,0,1_0,2
52,1,0.6153846153846154,1,1_1,5
53,0,0.6923076923076923,1,0_1,3
54,1,0.0,0,1_0,3
55,1,0.0,0,1_0,5
56,1,0.8461538461538461,1,1_1,1
57,1,0.07692307692307693,1,1_1,3
58,0,1.0,1,0_1,2
59,1,0.9230769230769231,1,1_1,2
60,0,0.23076923076923078,1,0_1,1
61,0,0.3076923076923077,1,0_1,1
62,0,0.07692307692307693,1,0_1,5
63,1,0.0,0,1_0,1
64,0,0.3076923076923077,1,0_1,5
65,0,0.07692307692307693,1,0_1,2
66,0,0.07692307692307693,1,0_1,4
67,0,0.3076923076923077,1,0_1,4
68,1,0.0,0,1_0,3
69,0,0.15384615384615385,1,0_1,3
70,0,0.3076923076923077,1,0_1,1
71,0,0.07692307692307693,1,0_1,2
72,1,0.15384615384615385,1,1_1,5
73,0,0.0,0,0_0,1
74,0,0.0,0,0_0,4
75,0,0.15384615384615385,1,0_1,3
76,1,0.0,0,1_0,5
77,1,0.6153846153846154,1,1_1,3
78,0,0.3076923076923077,1,0_1,1
79,0,0.0,0,0_0,3
80,1,0.38461538461538464,1,1_1,1
81,1,0.0,0,1_0,1
82,0,0.15384615384615385,1,0_1,5
83,1,0.0,0,1_0,3
84,0,0.46153846153846156,1,0_1,5
85,1,0.0,0,1_0,1
86,1,0.15384615384615385,1,1_1,1
87,0,0.0,0,0_0,4
88,0,0.23076923076923078,1,0_1,5
89,0,0.23076923076923078,1,0_1,1
90,0,0.15384615384615385,1,0_1,3
91,1,0.23076923076923078,1,1_1,3
92,0,0.15384615384615385,1,0_1,5
93,0,0.07692307692307693,1,0_1,5
94,0,0.15384615384615385,1,0_1,1
95,0,0.6153846153846154,1,0_1,2
96,1,0.9230769230769231,1,1_1,4
97,0,0.15384615384615385,1,0_1,4
98,1,0.15384615384615385,1,1_1,1
99,1,0.07692307692307693,1,1_1,1
100,0,0.46153846153846156,1,0_1,3
101,1,0.0,0,1_0,4
102,0,0.46153846153846156,1,0_1,4
103,0,0.3076923076923077,1,0_1,1
104,0,0.15384615384615385,1,0_1,4
105,0,0.0,0,0_0,5
106,1,0.0,0,1_0,3
107,0,0.0,0,0_0,3
108,1,0.07692307692307693,1,1_1,4
109,1,0.07692307692307693,1,1_1,3
110,0,0.0,0,0_0,3
111,0,0.07692307692307693,1,0_1,1
112,0,0.15384615384615385,1,0_1,2
113,0,0.07692307692307693,1,0_1,5
114,1,0.07692307692307693,1,1_1,2
115,0,0.0,0,0_0,3
116,1,0.5384615384615384,1,1_1,1
117,1,0.0,0,1_0,2
118,0,0.15384615384615385,1,0_1,4
119,0,0.0,0,0_0,1
120,1,0.23076923076923078,1,1_1,3
121,1,0.0,0,1_0,2
122,1,0.0,0,1_0,5
123,1,0.0,0,1_0,5
124,1,0.0,0,1_0,3
125,1,0.8461538461538461,1,1_1,5
126,0,0.0,0,0_0,1
127,0,0.15384615384615385,1,0_1,2
128,0,0.0,0,0_0,5
129,1,0.07692307692307693,1,1_1,2
130,1,0.0,0,1_0,5
131,1,0.9230769230769231,1,1_1,4
132,0,0.3076923076923077,1,0_1,3
133,1,0.0,0,1_0,2
134,1,0.0,0,1_0,5
135,1,0.0,0,1_0,1
136,0,0.07692307692307693,1,0_1,4
137,1,0.3076923076923077,1,1_1,4
138,1,0.15384615384615385,1,1_1,5
139,0,0.0,0,0_0,5
140,0,0.15384615384615385,1,0_1,4
141,0,0.07692307692307693,1,0_1,1
142,0,0.0,0,0_0,1
143,0,0.07692307692307693,1,0_1,1
144,1,0.0,0,1_0,4
145,0,0.07692307692307693,1,0_1,2
146,0,0.07692307692307693,1,0_1,5
147,1,0.23076923076923078,1,1_1,1
148,1,0.07692307692307693,1,1_1,2
149,0,0.7692307692307693,1,0_1,1
150,0,0.0,0,0_0,4
151,1,0.38461538461538464,1,1_1,2
152,0,0.0,0,0_0,4
153,0,0.0,0,0_0,4
154,1,0.7692307692307693,1,1_1,1
155,1,0.07692307692307693,1,1_1,5
156,1,0.9230769230769231,1,1_1,2
157,1,0.07692307692307693,1,1_1,1
158,1,0.8461538461538461,1,1_1,5
159,1,0.0,0,1_0,4
160,0,0.0,0,0_0,4
161,0,0.07692307692307693,1,0_1,2
162,1,0.0,0,1_0,2
163,1,0.9230769230769231,1,1_1,2
164,0,0.07692307692307693,1,0_1,4
165,1,0.0,0,1_0,1
166,1,0.0,0,1_0,3
167,0,0.07692307692307693,1,0_1,1
168,0,0.23076923076923078,1,0_1,1
169,0,0.07692307692307693,1,0_1,5
170,0,0.0,0,0_0,3
171,1,0.07692307692307693,1,1_1,3
172,1,0.07692307692307693,1,1_1,1
173,0,0.23076923076923078,1,0_1,2
174,0,0.15384615384615385,1,0_1,5
175,1,0.07692307692307693,1,1_1,1
176,0,0.0,0,0_0,2
177,1,0.38461538461538464,1,1_1,3
178,0,0.0,0,0_0,5
179,1,0.0,0,1_0,1
180,1,0.5384615384615384,1,1_1,5
181,1,0.07692307692307693,1,1_1,4
182,0,0.23076923076923078,1,0_1,4
183,0,0.0,0,0_0,2
184,1,0.0,0,1_0,4
185,1,0.07692307692307693,1,1_1,2
186,0,0.23076923076923078,1,0_1,2
187,0,0.15384615384615385,1,0_1,5
188,0,0.0,0,0_0,2
189,0,0.0,0,0_0,5
190,0,0.07692307692307693,1,0_1,4
191,0,0.46153846153846156,1,0_1,3
192,1,0.0,0,1_0,4
193,0,0.0,0,0_0,2
194,1,0.0,0,1_0,5
195,1,0.6153846153846154,1,1_1,4
196,0,0.15384615384615385,1,0_1,2
197,0,0.0,0,0_0,1
198,0,0.0,0,0_0,4
199,0,0.6923076923076923,1,0_1,4
200,0,0.07692307692307693,1,0_1,5
201,0,0.07692307692307693,1,0_1,3
202,1,0.0,0,1_0,4
203,0,0.38461538461538464,1,0_1,3
204,1,0.0,0,1_0,5
205,0,0.07692307692307693,1,0_1,3
206,0,0.0,0,0_0,1
207,0,0.15384615384615385,1,0_1,2
208,1,0.07692307692307693,1,1_1,3
209,0,0.0,0,0_0,1
210,1,0.46153846153846156,1,1_1,1
211,1,0.8461538461538461,1,1_1,4
212,0,0.23076923076923078,1,0_1,1
213,0,1.0,1,0_1,4
214,1,0.0,0,1_0,3
215,0,0.0,0,0_0,1
